,0
0,TWXC_t24
1,T250_t24
2,VVAV_t24
3,V850_t24
4,T200_t24
5,vs0
6,MTPW_v10
7,VMPI_t24
8,DELV-12
9,O500_t24
10,VMFX_t24
11,MTPW_v3
12,CFLX_t24
13,MTPW_v21
14,U20C_t24
15,PSLV_v8
16,RHHI_t24
17,O700_t24
18,IR00_v6
19,T150_t24
