,0
0,DELV-12
1,SHGC_t24
2,MTPW_v11
3,vs0
4,V300_t24
5,MTPW_v19
6,V000_t24
7,CD20_t24
8,HE05_t24
9,IR00_v12
10,RSST_t24
11,TWXC_t24
12,MTPW_v2
13,SHDC_t24
14,MTPW_v10
15,SHTS_t24
16,IR00_v5
17,RHHI_t24
18,PSLV_v14
19,SHTD_t24
